ocr_data,x1,y1,x2,y2,x3,y3,x4,y4,confident_level,ocr_similarityDateValue,ocr_similarityOCRValue,ocr_similarityInvoNoValue
Invoice no: 10299181,193,105,807,105,807,162,193,162,0.6980781835167543,1,0.699984,0
Date of issue:,197,208,524,208,524,270,197,270,0.9961903843099907,1,0.293118,0
04/13/2020,1196,207,1472,207,1472,261,1196,261,0.9494500432136007,0,0.313106,0
Seller:,192,660,388,660,388,720,192,720,0.9999421013727636,1,0.346113,0
Client:,1233,658,1427,658,1427,720,1233,720,0.9999420112573251,1,0.314606,0
Tran-Dunn,207,757,439,757,439,807,207,807,0.9072166789325853,1,0.228854,0
Barber Inc,1248,757,1472,757,1472,807,1248,807,0.8070331833043701,1,0.32768,0
60465 Juan Haven Apt: 964,209,812,790,812,790,867,209,867,0.8566638031287498,1,0.254542,0
25260 Hood Knolls Apt: 321,1245,812,1837,812,1837,867,1245,867,0.6223060687068792,1,0.252602,0
"East Samuel, WI 61269",209,864,702,864,702,916,209,916,0.9011828823074856,1,0.268526,0
New Luisside;,1248,864,1533,864,1533,916,1248,916,0.6415435052393111,1,0.2098,0
OK 45681,1547,864,1760,864,1760,913,1547,913,0.9320994382249381,1,0.463766,0
Tax Id: 921-87-5383,207,971,639,971,639,1020,207,1020,0.7824150033336732,1,0.311312,0
Tax Id: 992-79-0481,1245,971,1678,971,1678,1020,1245,1020,0.467432144203957,1,0.342273,0
IBAN: GB3SAATI49025002029065,207,1026,924,1026,924,1075,207,1075,0.6446390929804483,1,0.301719,0
ITEMS,193,1136,376,1136,376,1190,193,1190,0.9993388518996861,1,0.388985,0
No.,238,1268,304,1268,304,1304,238,1304,0.9985256966661346,1,0.812834,0
Description,357,1264,582,1264,582,1314,357,1314,0.8980441210383993,1,0.352392,0
UM,1167,1268,1233,1268,1233,1307,1167,1307,0.9999362745597775,1,0.435879,0
Net price,1347,1263,1529,1263,1529,1312,1347,1312,0.9998447555676865,1,0.268247,0
Net worth,1586,1268,1778,1268,1778,1304,1586,1304,0.6378698231337311,1,0.300125,0
VAT [%],1844,1265,2000,1265,2000,1310,1844,1310,0.9973194044628637,1,0.248004,0
Gross,2139,1267,2253,1267,2253,1308,2139,1308,0.9672776997968832,1,0.3035,0
worth,2137,1309,2250,1309,2250,1345,2137,1345,0.9998884172177832,1,0.359627,0
1,256,1404,277,1404,277,1434,256,1434,0.999994277962287,1,0.517555,0
PlayStation 5 Console Disc,356,1397,808,1397,808,1441,356,1441,0.9874305023224902,1,0.106552,0
"1,00",1008,1397,1091,1397,1091,1439,1008,1439,0.9999967217445374,1,0.363021,0
each,1153,1397,1241,1397,1241,1436,1153,1436,0.9999994039535522,1,0.345339,0
"899,99",1402,1397,1526,1397,1526,1436,1402,1436,0.6258552498396724,1,0.331838,0
"899,99",1655,1397,1778,1397,1778,1439,1655,1439,0.9999307463361718,1,0.331838,0
10%,1918,1397,2000,1397,2000,1439,1918,1439,0.9993302201424614,1,0.281628,0
"989,99",2129,1397,2253,1397,2253,1441,2129,1441,0.9999943546257334,1,0.3704,0
